#{"t_start": 1736080320.903883, "env_id": "None"}
r,l,t
39.19921,1000,290.180799
20.99079,1000,290.180815
40.90055,1000,290.180826
55.45234,1000,290.180836
92.18609,1000,290.180846
31.014288,1000,290.180856
31.124763,1000,290.180866
19.68101,1000,290.180876
30.709099,1000,290.180887
26.910015,1000,295.679703
27.63287,1000,295.679753
41.431328,1000,295.679768
19.619045,1000,295.679779
-3.604872,1000,295.679789
14.985009,1000,295.679798
113.064674,1000,295.679808
27.940992,1000,295.679818
24.893341,1000,295.679828
35.71671,1000,295.679838
39.580875,1000,305.226998
38.873905,1000,305.227051
35.09719,1000,305.227066
33.692627,1000,305.227077
32.669918,1000,305.227087
53.354797,1000,305.227097
34.152657,1000,305.227106
18.89792,1000,305.227115
55.00002,1000,305.227125
82.799644,1000,305.227134
5.627731,1000,310.915673
46.23742,1000,310.915728
31.388855,1000,310.915744
68.70111,1000,310.915756
36.263485,1000,310.915766
37.144447,1000,310.915776
59.975693,1000,310.915789
34.043365,1000,310.915798
36.28612,1000,310.915808
43.681362,1000,310.915818
40.97965,1000,320.319157
36.145554,1000,320.319206
-65.939606,1000,320.319225
35.674156,1000,320.319236
41.642582,1000,320.319247
136.5111,1000,320.319256
19.80253,1000,320.319266
43.13648,1000,320.319276
28.916246,1000,320.319286
37.972767,1000,320.319295
26.0026,1000,325.930443
37.43405,1000,325.930491
43.22388,1000,325.930506
13.797832,1000,325.930517
40.904396,1000,325.930528
42.25366,1000,325.930538
27.451292,1000,325.930547
33.984,1000,325.930557
25.522867,1000,325.930566
33.268185,1000,325.930576
69.129364,1000,335.367955
40.508167,1000,335.368021
53.648132,1000,335.368037
33.50893,1000,335.368048
37.76827,1000,335.368058
38.022385,1000,335.368068
39.268726,1000,335.368078
42.363758,1000,335.368087
43.020763,1000,335.368097
32.788166,1000,335.368106
29.493153,1000,340.956379
36.83082,1000,340.956429
43.721546,1000,340.956456
31.556929,1000,340.956468
27.501415,1000,340.956477
34.19738,1000,340.956493
32.87871,1000,340.956501
71.41811,1000,340.956509
32.739105,1000,340.956518
27.620184,1000,340.956526
38.300713,1000,350.545017
40.910023,1000,350.545069
50.358067,1000,350.5451
3.3715177,1000,350.545113
29.746807,1000,350.545123
41.35314,1000,350.545132
44.47404,1000,350.545142
46.847805,1000,350.545151
34.96267,1000,350.545161
41.4346,1000,350.54517
40.95528,1000,356.189476
32.89247,1000,356.189561
26.384327,1000,356.189592
34.137356,1000,356.189616
24.03042,1000,356.18964
39.426292,1000,356.189663
43.23028,1000,356.189686
52.805595,1000,356.189709
38.437016,1000,356.189732
36.57327,1000,356.189755
50.352802,1000,365.766577
24.315565,1000,365.766645
45.51735,1000,365.766663
36.55745,1000,365.766675
34.02981,1000,365.766686
42.087574,1000,365.766696
5.0075274,1000,365.766706
42.442886,1000,365.766716
95.84992,1000,365.766726
26.93646,1000,365.766736
44.177094,1000,371.555372
23.959415,1000,371.555424
63.5724,1000,371.55544
33.63112,1000,371.555451
-7.103962,1000,371.555461
28.034115,1000,371.555471
26.56869,1000,371.55548
30.922754,1000,371.55549
58.153893,1000,371.5555
76.40392,1000,371.555509
41.783604,1000,382.252847
50.01962,1000,382.252899
41.5771,1000,382.252915
71.285805,1000,382.252925
32.092308,1000,382.252935
45.43038,1000,382.252946
50.115723,1000,382.252955
57.40884,1000,382.252964
37.348064,1000,382.252974
42.36149,1000,382.252983
66.68001,1000,387.999244
27.42216,1000,387.999293
25.21577,1000,387.999308
47.28955,1000,387.999319
84.684326,1000,387.999328
48.86361,1000,387.999338
45.348015,1000,387.999347
-1.7553778,1000,387.999357
42.457058,1000,387.999367
36.97176,1000,387.999376
27.427116,1000,397.548568
55.860954,1000,397.54863
38.24317,1000,397.548646
52.16,1000,397.548657
47.146523,1000,397.548667
39.62789,1000,397.548677
33.237404,1000,397.548686
88.75701,1000,397.548696
49.75707,1000,397.548706
-15.133508,1000,397.548715
60.310257,1000,403.380072
80.58139,1000,403.380119
53.521465,1000,403.380134
-99.809166,1000,403.380146
48.28625,1000,403.380157
25.197779,1000,403.380166
